Date,Heartrate
2019-10-21 14:59:41,83
2019-10-21 14:59:42,90
2019-10-21 14:59:43,91
2019-10-21 14:59:44,98
2019-10-21 14:59:45,104
2019-10-21 14:59:47,103
2019-10-21 14:59:48,102
2019-10-21 14:59:49,95
2019-10-21 14:59:50,96
2019-10-21 14:59:52,89
2019-10-21 14:59:53,82
2019-10-21 14:59:54,79
2019-10-21 14:59:56,77
2019-10-21 14:59:58,76
2019-10-21 15:00:00,69
2019-10-21 15:00:01,74
2019-10-21 15:00:03,75
2019-10-21 15:00:04,77
2019-10-21 15:00:05,78
2019-10-21 15:00:06,76
